country	min	lowerq	median	upperq	max
??	19	19	20	21	21
AT	18	21	22	24	67
BE	18	21	22	24	60
BG	18	21	22	23	49
CH	18	22	23	24	55
CY	19	21	22	23	53
CZ	18	21	22	24	64
DE	17	21	22	24	69
DK	17	21	22	24	56
EE	18	21	22	24	53
ES	17	21	22	23	64
FI	17	21	22	24	71
FR	17	21	22	23	69
GR	17	21	22	23	57
HR	18	21	22	24	47
HU	18	21	22	23	57
IE	17	21	22	23	50
IS	19	21	23	24	44
IT	17	21	22	23	69
LI	18	22	23	24	36
LT	18	21	22	23	51
LU	18	21	22	23	51
LV	18	21	22	23	53
MK	24	24	24	24	24
MT	17	20	22	23	59
NL	17	21	22	23	55
NO	17	21	22	24	68
PL	18	21	22	23	56
PT	18	21	22	24	62
RO	18	21	22	24	56
SE	17	21	22	24	63
SI	18	21	22	24	49
SK	18	21	22	24	50
TR	18	21	22	24	58
UK	17	21	22	23	93
